"","x"
"109","rt : voluntary, #citizenscience sling effort is of enourmous value. £20m+ annually in the uk. something to keep in mind!

#bio…"
"110","rt : this cannot be repeated too many times :) thanks   for the great work and support. please help sprea…"
"111","rt : gil nelson : find one person who is not in your domain or country and figure out how you can work together; sm…"
"112","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"113","rt : the global register of introduced and invasive species provides an open interoperable global dataset for invasive species.…"
"114","rt : great messages from : put your data online &; make it fair, reusable for multiple audiences, machine-readable &; li…"
"115","rt : dr. carrie seltzer  of  reiterates how critical it is to #citethedoi if you're using #gbif dat…"
"116","rt : the focus of  now is on #citizenscience with the talk of  from  https://t.co/…"
"117","rt : the focus of  now is on #citizenscience with the talk of  from  https://t.co/…"
"118","rt : ian owens  presented the one world collection project at , describing the importance of global alig…"
"119","rt : ian owens  presented the one world collection project at , describing the importance of global alig…"
"120","rt : mediated machine vision  lays out the pipeline to leverage the vast and well-identified image data that gbif hol…"
"121","rt : the incredible talks  in #leiden are too numerous to keep up with! here is just one from  about…"
"122","many political #influencer who want #impeachment #trump don't want #berniesanders as #president either.… https://t.co/5ma2nnmm9g"
"123","rt : using the #konmari method on microscope slide data.... #musmeme #niche #sparksjoy  #museumchat #museums…"
"124","rt : de samenstelling van nederlandse vegetaties is nu al merkbaar veranderd door #klimaatverandering, laat …"
"125","rt : even our 8-year old is inspired by  - while waiting drew logo of conference - this is ehat happens if you take…"
"126","rt : .  introduces our proposal towards a trait data standard to overcome data heterogeneity and leverage open d…"
"127","rt : professor jorge soberón representing  as plenary speaker at  conference https://t.co/r2u7hndtoa"
"128","rt : en  es tiempo del sur global. abre la sesión prabhakar rajagopal presentando por qué es importante hablar d…"
"129","rt : but recently we were able to get #bhlib content indexed by , meaning you can more easily access #openaccess co…"
"130","even our 8-year old is inspired by  - while waiting drew logo of conference - this is ehat happens… https://t.co/bn4a3hr5ra"
"131","   what provisions do you have for online participation at the  uncon… https://t.co/nzuqzhek8k"
"132","rt : brief intermediate summary:
#rda14unconference has nice overview of sessions that facilitates remote participation: https://t.c…"
"133","rt : great messages from : put your data online &; make it fair, reusable for multiple audiences, machine-readable &; li…"
"134","rt : this. 

    https://t.co/nt6pamhk7i"
"135","rt : pollen, the great untapped source of primary plant data
arturo arino
  https://t.co/2czsb1f1ks"
"136","rt : en  es tiempo del sur global. abre la sesión prabhakar rajagopal presentando por qué es importante hablar d…"
"137","rt : pollen, the great untapped source of primary plant data
arturo arino
  https://t.co/2czsb1f1ks"
"138","rt :  are the talks being recorded and if so, will they be available online?? <U+0001F629>  #7concurrents…1ks"
"139","rt : day 3 of the conference! 
 
our vlog with participants     and  on what they l…"
"140","rt : did you know that biodiversity information standards  has a wikidata entry (of course it does)? david fichtmueller…"
"141","rt : damk? rod page's new acronym doesn't quite have the same ring as fair, but i love the sentiment behind it (particularly…"
"142","rt :  there was some awkward muttering, but then the audience cheered - because  had arrived to chair the p…"
"143","rt : lawrence monda of  presenting on biodiversity data management at the biodiversity next conference curren…"
"144","rt : my favourite poster : ""game of tops - trends in the #gbif community of users"". and not just because of…"
"145","rt : lawrence monda of  presenting on biodiversity data management at the biodiversity next conference currently ongo…"
"146","if you are  &; if you want to learn (more) about ""federated infrastructures for sustainable biodiversity… https://t.co/tbdtl62icd"
"147","rt : the global register of introduced and invasive species provides an open interoperable global dataset for invasive species.…"
"148","my favourite poster : ""game of tops - trends in the #gbif community of users"". and not just becaus… https://t.co/dojfb4zxea"
"149","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"150","hey  could we access to a bump of geolocated pictures to find species and help save #biodiversity… https://t.co/bwc7hcnxsk"
"151","rt : i really like it when a speaker - especially a plenary speaker - does this, bringing a whole conference and multiple speakers t…"
"152","lawrence monda of  presenting on biodiversity data management at the biodiversity next conference cu… https://t.co/cx4bbyx7ds"
"153","rt : enough said...

   #citethedoi https://t.co/5bypfhbsnp"
"154","rt : damk? rod page's new acronym doesn't quite have the same ring as fair, but i love the sentiment behind it (particularly…"
"155","rt : lawrence monda of  presenting on biodiversity data management at the biodiversity next conference curren…"
"156","rt : did you know that biodiversity information standards  has a wikidata entry (of course it does)? david fichtmueller…"
"157","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"158","lawrence monda of  presenting on biodiversity data management at the biodiversity next conference cu… https://t.co/dsnvb24ox6"
"159","rt : people are important to biodiversity and conservation  
  https://t.co/ntazxwraxj"
"160"," there was some awkward muttering, but then the audience cheered - because  had arrived to chair… https://t.co/3kqic7rncc"
"161","damk? rod page's new acronym doesn't quite have the same ring as fair, but i love the sentiment behind it (particul… https://t.co/mzto3znyjc"
"162","rt : day 3 of the conference! 
 
our vlog with participants     and  on what they l…"
"163","did you know that biodiversity information standards  has a wikidata entry (of course it does)? david fichtmue… https://t.co/d00gpguu0b"
"164","rt : .  from ums patrinat (  ) introduces the audience of the  st43 sess…"
"165","rt : the european journal of taxonomy (ejt) is such a great exle of how scholarly publishing should work, enabling large &;…"
"166","lawrence monda of  presenting on biodiversity data management at the biodiversity next conference cu… https://t.co/ycsouua4ft"
"167","day 3 of the conference! 
 
our vlog with participants     and  on what… https://t.co/4qsdyyhepf"
"168","rt :  i'm not on-site but wondering whether you have looked into integrating your efforts with , which is alrea…"
"169","rt : enough said...

   #citethedoi https://t.co/5bypfhbsnp"
"170","rt : michael kearney () says a theoretical perspective on functional traits will help better define &; prioritise trai…"
"171","rt :  are the talks being recorded and if so, will they be available online?? <U+0001F629>  #7concurrents…ise trai…"
"172","rt : osgur mcdermott-long on indicators, and what a good indicator should be, and be able to do. good indicators should be understand…"
"173","osgur mcdermott-long on indicators, and what a good indicator should be, and be able to do. good indicators should… https://t.co/kfbmkinano"
"174","rt : how far have we come since then? are today's quotes much different? are today's actions much different?
…"
"175","rt : great speakers today at the perspectives from the global south session at ! interesting and ever important pers…"
"176"," are the talks being recorded and if so, will they be available online?? <U+0001F629>  #7concurrentsessions #helpplease…"
"177","rt : happy to see a fellow  colleagues from  speaking at .  speaking about sharing prim…"
"178","michael kearney () says a theoretical perspective on functional traits will help better define &; prioritise… https://t.co/yjwexlswdh"
"179","rt : yvan le bras (  ) explains the motivations behind biodifairse: a go fair  implementation for biodiversit…"
"180","rt : enhancing taxonomic publications for dynamic data exchange and navigation is up next for me. begins with  col…"
"181"," i'm not on-site but wondering whether you have looked into integrating your efforts with , wh… https://t.co/4yysdo2xrs"
"182","rt : brian stucky illustrates the incompatability of phenology databases.  https://t.co/ukzhrriymq"
"183","rt : proposed solution: the plant phenology ontology ppo and supporting tools (including ontopilot to enable reasoning at scal…"
"184","rt : donald hobern comes in to relieve lee belbin on globis-b and generating ebvs to track and inform on ecosystem health. still chal…"
"185","rt : the global register of introduced and invasive species provides an open interoperable global dataset for invasive species.…"
"186","rt : great messages from : put your data online &; make it fair, reusable for multiple audiences, machine-readable &; li…"
"187","rt : breaking! the #unconference team cancelled #brexit and #alternativeendingforgameofthrones as possible subjects!! …"
"188","rt : professor jorge soberón representing  as plenary speaker at  conference https://t.co/r2u7hndtoa"
"189","rt : there are 250k images in : it's now the biggest data provider to . we talk about #bigdata in terms of da…"
"190","rt : so much fomo seeing all the talks and demos coming from . when is the next one?"
"191","rt : how far have we come since then? are today's quotes much different? are today's actions much different?
…"
"192","rt : donald hobern comes in to relieve lee belbin on globis-b and generating ebvs to track and inform on ecosystem health. still chal…"
"193","rt : . shares an overview of the  workflow.  https://t.co/modxtwxkyd"
"194","rt : the incredible talks  in #leiden are too numerous to keep up with! here is just one from  about…"
"195","rt : last talk in the trait mega symposium (3 sessions! 15 speakers!) by  on extracting functional traits from herbar…"
"196","rt : great messages from : put your data online &; make it fair, reusable for multiple audiences, machine-readable &; li…"
"197","rt : ian owens  presented the one world collection project at , describing the importance of global alig…"
"198","rt : last talk in the trait mega symposium (3 sessions! 15 speakers!) by  on extracting functional traits from herbar…"
"199","rt : there are 250k images in : it's now the biggest data provider to . we talk about #bigdata in terms of da…"
"200","rt : great messages from : put your data online &; make it fair, reusable for multiple audiences, machine-readable &; li…"
"201","rt : the global register of introduced and invasive species provides an open interoperable global dataset for invasive species.…"
"202","rt : brief intermediate summary:
#rda14unconference has nice overview of sessions that facilitates remote participation: https://t.c…"
"203","rt : melodie mcgeogh  on applying modern informatics in support of invasion science and policy. we are in a period of data…"
"204","rt : symposium on taxonomic literature with talks by publishers + scientists at  is starting - should be a fun sess…"
"205","ian owens  presented the one world collection project at , describing the importance of globa… https://t.co/v06r1p23m1"
"206","rt : more volunteers stick with #citizenscience structured surveys than simple mass participation projects. important to match…"
"207","rt : after the amazing global south session, some interesting talks about citizen science and crowdsourcing, the next generat…"
"208","rt : when hell freezes over  https://t.co/e8rin1z0ya"
"209","rt : the european journal of taxonomy (ejt) is such a great exle of how scholarly publishing should work, enabling large &;…"
"210","rt : all these wonderful tweets from . love em! but it’s a good reminder for slide design: make your text &; d…"
"211","rt : #marinespecies traits in the  species information backbone. now at  leiden https://t.co…"
"212","rt : pass by the grote zaal, our colleague stefanie dekayzer just started her talk on the lifewatch species information backb…"
"213","rt : chantal huijbers  and sarah richmond describe the attributes necessary to build a integrated biodiversity techno…"
"214","rt : wi76 towards a next generation of citizen science and crowdsourcing tools  allan zirk  #citi…"
"215","rt : my second lecture by the bodyless voice of brian stucky, this time a great point in what we should look for in a data integr…"
"216","rt : proposed solution: the plant phenology ontology ppo and supporting tools (including ontopilot to enable reasoning at scal…"
"217","rt :   while you are working on the national #citizenscience platform, what are the plans for integrat…"
"218","rt : how to evaluate the quality of #linkeddata ? have a look at this paper by  et al. (2015): https://t.co/5nv1ebro9m

i…"
"219","rt : imanol miqueleiz on freshwater ecosystems (yay, fish!) and a methodology to measure and build an index for one of my favourite n…"
"220","rt : wi76 towards a next generation of citizen science and crowdsourcing tools   colleague julien husso…"
"221","rt : brian stucky illustrates the incompatability of phenology databases.  https://t.co/ukzhrriymq"
"222","rt : christian könig describes how aggregated #biodiversitydata  provides robust descriptions on macroecological patterns. bu…"
"223","great messages from : put your data online &; make it fair, reusable for multiple audiences, machine-readable… https://t.co/lcxsoia03z"
"224","rt : we’re halfway through the conference, so we asked attendees what their personal highlights of  were so fa…"
"225","rt : wi76 towards a next generation of citizen science and crowdsourcing tools  patricia mergen. ""collaboration c…"
"226","the incredible talks  in #leiden are too numerous to keep up with! here is just one from  ab… https://t.co/v87axpelub"
"227"," amen! i try to always have at least key message in as large a font as i can on slides at internationa… https://t.co/yis5286sbb"
"228","rt : the european journal of taxonomy (ejt) is such a great exle of how scholarly publishing should work, enabling large &;…"
"229","rt : de samenstelling van nederlandse vegetaties is nu al merkbaar veranderd door #klimaatverandering, laat …"
"230","rt : there are 250k images in : it's now the biggest data provider to . we talk about #bigdata in terms of da…"
"231","rt : de samenstelling van nederlandse vegetaties is nu al merkbaar veranderd door #klimaatverandering, laat …"
"232","rt : last talk in the trait mega symposium (3 sessions! 15 speakers!) by  on extracting functional traits from herbar…"
"233","rt : donald hobern comes in to relieve lee belbin on globis-b and generating ebvs to track and inform on ecosystem health. still chal…"
"234","rt : all these wonderful tweets from . love em! but it’s a good reminder for slide design: make your text &; d…"
"235","rt : tendamudzimu munyai of  takes us through the preparation, process, indicator variables and pathways that were conducted…"
"236","donald hobern comes in to relieve lee belbin on globis-b and generating ebvs to track and inform on ecosystem healt… https://t.co/m24nk4ugfr"
"237","rt : a lot of data can be derived from specimens, this information needs to be unambiguously linked to specimen.  pla…"
"238","how far have we come since then? are today's quotes much different? are today's actions much different?… https://t.co/rkduyzehqe"
"239","rt : wi76 towards a next generation of citizen science and crowdsourcing tools  patricia mergen speaking #citizen…"
"240","rt : professor jorge soberón representing  as plenary speaker at  conference https://t.co/r2u7hndtoa"
"241","rt : se cierra la sesión de perspectivas del sur global de  con un gran panel de reflexiones. ha sido una i…"
"242","rt : so we have three #unconference events on topics dear to me ongoing -
#rdaplenary in helsinki
 in leiden
#mozfe…"
"243","so much fomo seeing all the talks and demos coming from . when is the next one?"
"244","rt : the #unconference submissions for  are now closed. the final selections will be announced shortly! thank you for p…"
"245","rt :   from  : liberating our legacy data is one thing; ensuring the #fair-ness of the dat…"
"246","rt : discussion session at  for trait based biodiversity. that is the microphone been thrown from one part of th…"
"247","there are 250k images in : it's now the biggest data provider to . we talk about #bigdata in terms… https://t.co/yujcvii4vh"
"248","rt : is anyone using apache airflow for biodiversity data pipelines/etl or apache superset for visualizations? "
"249","rt : the global register of introduced and invasive species provides an open interoperable global dataset for invasive species.…"
"250","how. is. it. so. hot. in. this. room. ?. #sendhelp #unconsciousnext   "
"251","professor jorge soberón representing  as plenary speaker at  conference https://t.co/r2u7hndtoa"
"252","breaking! the #unconference team cancelled #brexit and #alternativeendingforgameofthrones as possible subjects!!… https://t.co/relthevzpw"
"253","rt :  folk may be interested in this! https://t.co/v3qelkvt21"
"254","rt : the global register of introduced and invasive species provides an open interoperable global dataset for invasive species.…"
"255","last talk in the trait mega symposium (3 sessions! 15 speakers!) by  on extracting functional traits from… https://t.co/kiaf3ja9mf"
"256","the global register of introduced and invasive species provides an open interoperable global dataset for invasive s… https://t.co/1saugtjslx"
"257","rt : clear messaging <U+2714> #citethedoi  https://t.co/1dzn8mseka"
"258","rt : de  app heeft nu ook automatische beeldherkenning.  demonstreert: neem een plant of dier in h…"
"259","rt : enough said...

   #citethedoi https://t.co/5bypfhbsnp"
"260","rt : making your database #openaccess massively increases the number of users downloading, querying, engaging with &; publishi…"
"261","brief intermediate summary:
#rda14unconference has nice overview of sessions that facilitates remote participation:… https://t.co/hmme7haica"
"262","rt : making your database #openaccess massively increases the number of users downloading, querying, engaging with &; publishi…"
"263","rt : #marinespecies traits in the  species information backbone. now at  leiden https://t.co…"
"264","rt : pass by the grote zaal, our colleague stefanie dekayzer just started her talk on the lifewatch species information backb…"
"265","rt : chantal huijbers  and sarah richmond describe the attributes necessary to build a integrated biodiversity techno…"
"266","rt : discussion session at  for trait based biodiversity. that is the microphone been thrown from one part of th…"
"267","rt : all these wonderful tweets from . love em! but it’s a good reminder for slide design: make your text &; d…"
"268","rt : de samenstelling van nederlandse vegetaties is nu al merkbaar veranderd door #klimaatverandering, laat …"
"269","rt : melodie mcgeogh  on applying modern informatics in support of invasion science and policy. we are in a period of data…"
"270","rt : symposium on taxonomic literature with talks by publishers + scientists at  is starting - should be a fun sess…"
"271","rt : melodie mcgeogh  on applying modern informatics in support of invasion science and policy. we are in a period of data…"
"272","rt : ready for day 3. two amazing keynote speakers today, eager to hear ! <U+0001F60A>  https://t.co/mkyo…d of data…"
"273","melodie mcgeogh  on applying modern informatics in support of invasion science and policy. we are in a pe… https://t.co/y4kvimcec8"
"274","rt : now in  si72 #traitdata symposium: patrick plitzner with results from dfg-funded ""additivity"" project a…"
"275","rt :  day 3 first plenary speaker is jorge soberón, telling us about how mexican biodiversity agency …"
"276","rt : the biodiversity heritage literature is the basis upon which our understanding of biodiversity is based. thanks to the e…"
"277","symposium on taxonomic literature with talks by publishers + scientists at  is starting - should b… https://t.co/kjysup2v7l"
"278","rt : the european journal of taxonomy (ejt) is such a great exle of how scholarly publishing should work, enabling large &;…"
"279","rt : . making the case for the role of people within our systems of biodiversity data, answering the most natura…"
"280","rt : time to dissco!!
 as a new regional model for scientific collections in europe  https://t.co/b1q0bzvn…"
"281","rt : wanna know more about our services? don’t miss leen vandepitte and stefanie dekeyser’s talks on lifewatch taxonomic back…"
"282","after the amazing global south session, some interesting talks about citizen science and crowdsourcing, the next ge… https://t.co/q4wftwmrzk"
"283","rt : i really like it when a speaker - especially a plenary speaker - does this, bringing a whole conference and multiple speakers t…"
"284","rt : design studies showed that we need to coordinate scattered research acitivies around #collections to better use our #data…"
"285","rt : wi76 towards a next generation of citizen science and crowdsourcing tools  allan zirk  #citi…"
"286","when hell freezes over  https://t.co/e8rin1z0ya"
"287","de samenstelling van nederlandse vegetaties is nu al merkbaar veranderd door #klimaatverandering, laat… https://t.co/f1isnphslq"
"288","the european journal of taxonomy (ejt) is such a great exle of how scholarly publishing should work, enabling la… https://t.co/ye2wwnh8j4"
"289","#marinespecies traits in the  species information backbone. now at  leiden https://t.co/mib49j2dlr"
"290","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"291","rt :  ""the inclusion of literature from  into world flora online is miles away""."
"292","rt : chantal huijbers  and sarah richmond describe the attributes necessary to build a integrated biodiversity techno…"
"293","rt : the #unconference submissions for  are now closed. the final selections will be announced shortly! thank you for p…"
"294","rt : bureaucracy, the favourite topic of researchers <U+0001F600>! but jorge soberon makes important points on how the lack (or inaccesib…an…"
"295","rt : jorge soberon and  have kicked off today's  proceedings with keynotes on the path from rese…"
"296","pass by the grote zaal, our colleague stefanie dekayzer just started her talk on the lifewatch species information… https://t.co/uvugle0xvs"
"297","rt : day three of  is here! what are your plans for today?

     …"
"298","rt : the key point of openbuodiv-o is that it combines both biodiversity-related and publishing ontologies (#spar), introducing sev…"
"299","rt : chantal huijbers  and sarah richmond describe the attributes necessary to build a integrated biodiversity techno…"
"300","rt : .  from  is presenting the customized, handcraft approach used for high-quality biodiversity datase…"
"301","rt : so, public engagement with biodiversity identification via  is incredible, but it just can't compete with th…"
"302","rt :   uses computer vision models trained on millions of research-grade labeled observations #biodi…"
"303","rt : the  #unconference session is open, we need your input! for all the info you need, go here: https://t.co/mv17…"
"304","rt : mediated machine vision  lays out the pipeline to leverage the vast and well-identified image data that gbif hol…"
